date,bikes_count,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,weekend,trend,trend_sq,trend_cub
2014/12/18,570,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
2014/12/19,873,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,8
2014/12/20,258,0,0,0,0,0,0,0,0,0,0,0,1,1,3,9,27
2014/12/21,460,0,0,0,0,0,0,0,0,0,0,0,1,1,4,16,64
2014/12/22,943,0,0,0,0,0,0,0,0,0,0,0,1,0,5,25,125
2014/12/23,556,0,0,0,0,0,0,0,0,0,0,0,1,0,6,36,216
2014/12/24,680,0,0,0,0,0,0,0,0,0,0,0,1,0,7,49,343
2014/12/25,270,0,0,0,0,0,0,0,0,0,0,0,1,0,8,64,512
2014/12/26,327,0,0,0,0,0,0,0,0,0,0,0,1,0,9,81,729
2014/12/27,335,0,0,0,0,0,0,0,0,0,0,0,1,1,10,100,1000
2014/12/28,479,0,0,0,0,0,0,0,0,0,0,0,1,1,11,121,1331
2014/12/29,584,0,0,0,0,0,0,0,0,0,0,0,1,0,12,144,1728
2014/12/30,700,0,0,0,0,0,0,0,0,0,0,0,1,0,13,169,2197
2014/12/31,681,0,0,0,0,0,0,0,0,0,0,0,1,0,14,196,2744
2015/1/1,435,1,0,0,0,0,0,0,0,0,0,0,0,0,15,225,3375
2015/1/2,467,1,0,0,0,0,0,0,0,0,0,0,0,0,16,256,4096
2015/1/3,505,1,0,0,0,0,0,0,0,0,0,0,0,1,17,289,4913
2015/1/4,139,1,0,0,0,0,0,0,0,0,0,0,0,1,18,324,5832
2015/1/5,732,1,0,0,0,0,0,0,0,0,0,0,0,0,19,361,6859
2015/1/6,1228,1,0,0,0,0,0,0,0,0,0,0,0,0,20,400,8000
2015/1/7,1333,1,0,0,0,0,0,0,0,0,0,0,0,0,21,441,9261
2015/1/8,1376,1,0,0,0,0,0,0,0,0,0,0,0,0,22,484,10648
2015/1/9,1258,1,0,0,0,0,0,0,0,0,0,0,0,0,23,529,12167
2015/1/10,498,1,0,0,0,0,0,0,0,0,0,0,0,1,24,576,13824
2015/1/11,465,1,0,0,0,0,0,0,0,0,0,0,0,1,25,625,15625
2015/1/12,1330,1,0,0,0,0,0,0,0,0,0,0,0,0,26,676,17576
2015/1/13,1400,1,0,0,0,0,0,0,0,0,0,0,0,0,27,729,19683
2015/1/14,1327,1,0,0,0,0,0,0,0,0,0,0,0,0,28,784,21952
2015/1/15,1205,1,0,0,0,0,0,0,0,0,0,0,0,0,29,841,24389
2015/1/16,1287,1,0,0,0,0,0,0,0,0,0,0,0,0,30,900,27000
2015/1/17,472,1,0,0,0,0,0,0,0,0,0,0,0,1,31,961,29791
2015/1/18,210,1,0,0,0,0,0,0,0,0,0,0,0,1,32,1024,32768
2015/1/19,1365,1,0,0,0,0,0,0,0,0,0,0,0,0,33,1089,35937
2015/1/20,1401,1,0,0,0,0,0,0,0,0,0,0,0,0,34,1156,39304
2015/1/21,1350,1,0,0,0,0,0,0,0,0,0,0,0,0,35,1225,42875
2015/1/22,974,1,0,0,0,0,0,0,0,0,0,0,0,0,36,1296,46656
2015/1/23,866,1,0,0,0,0,0,0,0,0,0,0,0,0,37,1369,50653
2015/1/24,370,1,0,0,0,0,0,0,0,0,0,0,0,1,38,1444,54872
2015/1/25,769,1,0,0,0,0,0,0,0,0,0,0,0,1,39,1521,59319
2015/1/26,1332,1,0,0,0,0,0,0,0,0,0,0,0,0,40,1600,64000
2015/1/27,1457,1,0,0,0,0,0,0,0,0,0,0,0,0,41,1681,68921
2015/1/28,1388,1,0,0,0,0,0,0,0,0,0,0,0,0,42,1764,74088
2015/1/29,1542,1,0,0,0,0,0,0,0,0,0,0,0,0,43,1849,79507
2015/1/30,1344,1,0,0,0,0,0,0,0,0,0,0,0,0,44,1936,85184
2015/1/31,784,1,0,0,0,0,0,0,0,0,0,0,0,1,45,2025,91125
2015/2/1,385,0,1,0,0,0,0,0,0,0,0,0,0,1,46,2116,97336
2015/2/2,1085,0,1,0,0,0,0,0,0,0,0,0,0,0,47,2209,103823
2015/2/3,1278,0,1,0,0,0,0,0,0,0,0,0,0,0,48,2304,110592
2015/2/4,1188,0,1,0,0,0,0,0,0,0,0,0,0,0,49,2401,117649
2015/2/5,851,0,1,0,0,0,0,0,0,0,0,0,0,0,50,2500,125000
2015/2/6,715,0,1,0,0,0,0,0,0,0,0,0,0,0,51,2601,132651
2015/2/7,396,0,1,0,0,0,0,0,0,0,0,0,0,1,52,2704,140608
2015/2/8,820,0,1,0,0,0,0,0,0,0,0,0,0,1,53,2809,148877
2015/2/9,489,0,1,0,0,0,0,0,0,0,0,0,0,0,54,2916,157464
2015/2/10,1430,0,1,0,0,0,0,0,0,0,0,0,0,0,55,3025,166375
2015/2/11,1526,0,1,0,0,0,0,0,0,0,0,0,0,0,56,3136,175616
2015/2/12,1150,0,1,0,0,0,0,0,0,0,0,0,0,0,57,3249,185193
2015/2/13,1121,0,1,0,0,0,0,0,0,0,0,0,0,0,58,3364,195112
2015/2/14,984,0,1,0,0,0,0,0,0,0,0,0,0,1,59,3481,205379
2015/2/15,1234,0,1,0,0,0,0,0,0,0,0,0,0,1,60,3600,216000
2015/2/16,1559,0,1,0,0,0,0,0,0,0,0,0,0,0,61,3721,226981
2015/2/17,1704,0,1,0,0,0,0,0,0,0,0,0,0,0,62,3844,238328
2015/2/18,1592,0,1,0,0,0,0,0,0,0,0,0,0,0,63,3969,250047
2015/2/19,1128,0,1,0,0,0,0,0,0,0,0,0,0,0,64,4096,262144
2015/2/20,1269,0,1,0,0,0,0,0,0,0,0,0,0,0,65,4225,274625
2015/2/21,1415,0,1,0,0,0,0,0,0,0,0,0,0,1,66,4356,287496
2015/2/22,1166,0,1,0,0,0,0,0,0,0,0,0,0,1,67,4489,300763
2015/2/23,1618,0,1,0,0,0,0,0,0,0,0,0,0,0,68,4624,314432
2015/2/24,1704,0,1,0,0,0,0,0,0,0,0,0,0,0,69,4761,328509
2015/2/25,1322,0,1,0,0,0,0,0,0,0,0,0,0,0,70,4900,343000
2015/2/26,1201,0,1,0,0,0,0,0,0,0,0,0,0,0,71,5041,357911
2015/2/27,825,0,1,0,0,0,0,0,0,0,0,0,0,0,72,5184,373248
2015/2/28,1269,0,1,0,0,0,0,0,0,0,0,0,0,1,73,5329,389017
2015/3/1,1068,0,0,1,0,0,0,0,0,0,0,0,0,1,74,5476,405224
2015/3/2,1614,0,0,1,0,0,0,0,0,0,0,0,0,0,75,5625,421875
2015/3/3,1761,0,0,1,0,0,0,0,0,0,0,0,0,0,76,5776,438976
2015/3/4,1683,0,0,1,0,0,0,0,0,0,0,0,0,0,77,5929,456533
2015/3/5,1583,0,0,1,0,0,0,0,0,0,0,0,0,0,78,6084,474552
2015/3/6,1490,0,0,1,0,0,0,0,0,0,0,0,0,0,79,6241,493039
2015/3/7,1498,0,0,1,0,0,0,0,0,0,0,0,0,1,80,6400,512000
2015/3/8,1409,0,0,1,0,0,0,0,0,0,0,0,0,1,81,6561,531441
2015/3/9,1631,0,0,1,0,0,0,0,0,0,0,0,0,0,82,6724,551368
2015/3/10,1610,0,0,1,0,0,0,0,0,0,0,0,0,0,83,6889,571787
2015/3/11,1393,0,0,1,0,0,0,0,0,0,0,0,0,0,84,7056,592704
2015/3/12,1561,0,0,1,0,0,0,0,0,0,0,0,0,0,85,7225,614125
2015/3/13,1453,0,0,1,0,0,0,0,0,0,0,0,0,0,86,7396,636056
2015/3/14,564,0,0,1,0,0,0,0,0,0,0,0,0,1,87,7569,658503
2015/3/15,179,0,0,1,0,0,0,0,0,0,0,0,0,1,88,7744,681472
2015/3/16,1454,0,0,1,0,0,0,0,0,0,0,0,0,0,89,7921,704969
2015/3/17,1724,0,0,1,0,0,0,0,0,0,0,0,0,0,90,8100,729000
2015/3/18,1815,0,0,1,0,0,0,0,0,0,0,0,0,0,91,8281,753571
2015/3/19,1189,0,0,1,0,0,0,0,0,0,0,0,0,0,92,8464,778688
2015/3/20,1043,0,0,1,0,0,0,0,0,0,0,0,0,0,93,8649,804357
2015/3/21,936,0,0,1,0,0,0,0,0,0,0,0,0,1,94,8836,830584
2015/3/22,909,0,0,1,0,0,0,0,0,0,0,0,0,1,95,9025,857375
2015/3/23,1464,0,0,1,0,0,0,0,0,0,0,0,0,0,96,9216,884736
2015/3/24,1815,0,0,1,0,0,0,0,0,0,0,0,0,0,97,9409,912673
2015/3/25,1170,0,0,1,0,0,0,0,0,0,0,0,0,0,98,9604,941192
2015/3/26,1786,0,0,1,0,0,0,0,0,0,0,0,0,0,99,9801,970299
2015/3/27,1688,0,0,1,0,0,0,0,0,0,0,0,0,0,100,10000,1000000
2015/3/28,993,0,0,1,0,0,0,0,0,0,0,0,0,1,101,10201,1030301
2015/3/29,380,0,0,1,0,0,0,0,0,0,0,0,0,1,102,10404,1061208
2015/3/30,1833,0,0,1,0,0,0,0,0,0,0,0,0,0,103,10609,1092727
2015/3/31,1628,0,0,1,0,0,0,0,0,0,0,0,0,0,104,10816,1124864
2015/4/1,1526,0,0,0,1,0,0,0,0,0,0,0,0,0,105,11025,1157625
2015/4/2,1516,0,0,0,1,0,0,0,0,0,0,0,0,0,106,11236,1191016
2015/4/3,905,0,0,0,1,0,0,0,0,0,0,0,0,0,107,11449,1225043
2015/4/4,1021,0,0,0,1,0,0,0,0,0,0,0,0,1,108,11664,1259712
2015/4/5,1206,0,0,0,1,0,0,0,0,0,0,0,0,1,109,11881,1295029
2015/4/6,1288,0,0,0,1,0,0,0,0,0,0,0,0,0,110,12100,1331000
2015/4/7,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,111,12321,1367631
2015/4/8,2089,0,0,0,1,0,0,0,0,0,0,0,0,0,112,12544,1404928
2015/4/9,2046,0,0,0,1,0,0,0,0,0,0,0,0,0,113,12769,1442897
2015/4/10,1242,0,0,0,1,0,0,0,0,0,0,0,0,0,114,12996,1481544
2015/4/11,966,0,0,0,1,0,0,0,0,0,0,0,0,1,115,13225,1520875
2015/4/12,1118,0,0,0,1,0,0,0,0,0,0,0,0,1,116,13456,1560896
2015/4/13,1240,0,0,0,1,0,0,0,0,0,0,0,0,0,117,13689,1601613
2015/4/14,1795,0,0,0,1,0,0,0,0,0,0,0,0,0,118,13924,1643032
2015/4/15,1824,0,0,0,1,0,0,0,0,0,0,0,0,0,119,14161,1685159
2015/4/16,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,120,14400,1728000
2015/4/17,1903,0,0,0,1,0,0,0,0,0,0,0,0,0,121,14641,1771561
2015/4/18,1625,0,0,0,1,0,0,0,0,0,0,0,0,1,122,14884,1815848
2015/4/19,1757,0,0,0,1,0,0,0,0,0,0,0,0,1,123,15129,1860867
2015/4/20,2311,0,0,0,1,0,0,0,0,0,0,0,0,0,124,15376,1906624
2015/4/21,1832,0,0,0,1,0,0,0,0,0,0,0,0,0,125,15625,1953125
2015/4/22,1972,0,0,0,1,0,0,0,0,0,0,0,0,0,126,15876,2000376
2015/4/23,1410,0,0,0,1,0,0,0,0,0,0,0,0,0,127,16129,2048383
2015/4/24,1363,0,0,0,1,0,0,0,0,0,0,0,0,0,128,16384,2097152
2015/4/25,999,0,0,0,1,0,0,0,0,0,0,0,0,1,129,16641,2146689
2015/4/26,1052,0,0,0,1,0,0,0,0,0,0,0,0,1,130,16900,2197000
2015/4/27,1764,0,0,0,1,0,0,0,0,0,0,0,0,0,131,17161,2248091
2015/4/28,1780,0,0,0,1,0,0,0,0,0,0,0,0,0,132,17424,2299968
2015/4/29,2085,0,0,0,1,0,0,0,0,0,0,0,0,0,133,17689,2352637
2015/4/30,1955,0,0,0,1,0,0,0,0,0,0,0,0,0,134,17956,2406104
2015/5/1,1920,0,0,0,0,1,0,0,0,0,0,0,0,0,135,18225,2460375
2015/5/2,1685,0,0,0,0,1,0,0,0,0,0,0,0,1,136,18496,2515456
2015/5/3,1784,0,0,0,0,1,0,0,0,0,0,0,0,1,137,18769,2571353
2015/5/4,2078,0,0,0,0,1,0,0,0,0,0,0,0,0,138,19044,2628072
2015/5/5,1791,0,0,0,0,1,0,0,0,0,0,0,0,0,139,19321,2685619
2015/5/6,2185,0,0,0,0,1,0,0,0,0,0,0,0,0,140,19600,2744000
2015/5/7,2414,0,0,0,0,1,0,0,0,0,0,0,0,0,141,19881,2803221
2015/5/8,2240,0,0,0,0,1,0,0,0,0,0,0,0,0,142,20164,2863288
2015/5/9,1863,0,0,0,0,1,0,0,0,0,0,0,0,1,143,20449,2924207
2015/5/10,1458,0,0,0,0,1,0,0,0,0,0,0,0,1,144,20736,2985984
2015/5/11,1997,0,0,0,0,1,0,0,0,0,0,0,0,0,145,21025,3048625
2015/5/12,2157,0,0,0,0,1,0,0,0,0,0,0,0,0,146,21316,3112136
2015/5/13,2054,0,0,0,0,1,0,0,0,0,0,0,0,0,147,21609,3176523
2015/5/14,2227,0,0,0,0,1,0,0,0,0,0,0,0,0,148,21904,3241792
2015/5/15,2055,0,0,0,0,1,0,0,0,0,0,0,0,0,149,22201,3307949
2015/5/16,1557,0,0,0,0,1,0,0,0,0,0,0,0,1,150,22500,3375000
2015/5/17,1835,0,0,0,0,1,0,0,0,0,0,0,0,1,151,22801,3442951
2015/5/18,2087,0,0,0,0,1,0,0,0,0,0,0,0,0,152,23104,3511808
2015/5/19,2431,0,0,0,0,1,0,0,0,0,0,0,0,0,153,23409,3581577
2015/5/20,2721,0,0,0,0,1,0,0,0,0,0,0,0,0,154,23716,3652264
2015/5/21,2405,0,0,0,0,1,0,0,0,0,0,0,0,0,155,24025,3723875
2015/5/22,2041,0,0,0,0,1,0,0,0,0,0,0,0,0,156,24336,3796416
2015/5/23,1681,0,0,0,0,1,0,0,0,0,0,0,0,1,157,24649,3869893
2015/5/24,1741,0,0,0,0,1,0,0,0,0,0,0,0,1,158,24964,3944312
2015/5/25,3169,0,0,0,0,1,0,0,0,0,0,0,0,0,159,25281,4019679
2015/5/26,2882,0,0,0,0,1,0,0,0,0,0,0,0,0,160,25600,4096000
2015/5/27,3180,0,0,0,0,1,0,0,0,0,0,0,0,0,161,25921,4173281
2015/5/28,2943,0,0,0,0,1,0,0,0,0,0,0,0,0,162,26244,4251528
2015/5/29,2911,0,0,0,0,1,0,0,0,0,0,0,0,0,163,26569,4330747
2015/5/30,1910,0,0,0,0,1,0,0,0,0,0,0,0,1,164,26896,4410944
2015/5/31,1540,0,0,0,0,1,0,0,0,0,0,0,0,1,165,27225,4492125
2015/6/1,2137,0,0,0,0,0,1,0,0,0,0,0,0,0,166,27556,4574296
2015/6/2,2073,0,0,0,0,0,1,0,0,0,0,0,0,0,167,27889,4657463
2015/6/3,2296,0,0,0,0,0,1,0,0,0,0,0,0,0,168,28224,4741632
2015/6/4,2490,0,0,0,0,0,1,0,0,0,0,0,0,0,169,28561,4826809
2015/6/5,2448,0,0,0,0,0,1,0,0,0,0,0,0,0,170,28900,4913000
2015/6/6,2021,0,0,0,0,0,1,0,0,0,0,0,0,1,171,29241,5000211
2015/6/7,2168,0,0,0,0,0,1,0,0,0,0,0,0,1,172,29584,5088448
2015/6/8,2728,0,0,0,0,0,1,0,0,0,0,0,0,0,173,29929,5177717
2015/6/9,2805,0,0,0,0,0,1,0,0,0,0,0,0,0,174,30276,5268024
2015/6/10,2713,0,0,0,0,0,1,0,0,0,0,0,0,0,175,30625,5359375
2015/6/11,2527,0,0,0,0,0,1,0,0,0,0,0,0,0,176,30976,5451776
2015/6/12,2329,0,0,0,0,0,1,0,0,0,0,0,0,0,177,31329,5545233
2015/6/13,1907,0,0,0,0,0,1,0,0,0,0,0,0,1,178,31684,5639752
2015/6/14,1887,0,0,0,0,0,1,0,0,0,0,0,0,1,179,32041,5735339
2015/6/15,2683,0,0,0,0,0,1,0,0,0,0,0,0,0,180,32400,5832000
2015/6/16,2637,0,0,0,0,0,1,0,0,0,0,0,0,0,181,32761,5929741
2015/6/17,2756,0,0,0,0,0,1,0,0,0,0,0,0,0,182,33124,6028568
2015/6/18,2196,0,0,0,0,0,1,0,0,0,0,0,0,0,183,33489,6128487
2015/6/19,2136,0,0,0,0,0,1,0,0,0,0,0,0,0,184,33856,6229504
2015/6/20,2033,0,0,0,0,0,1,0,0,0,0,0,0,1,185,34225,6331625
2015/6/21,2594,0,0,0,0,0,1,0,0,0,0,0,0,1,186,34596,6434856
2015/6/22,2502,0,0,0,0,0,1,0,0,0,0,0,0,0,187,34969,6539203
2015/6/23,2613,0,0,0,0,0,1,0,0,0,0,0,0,0,188,35344,6644672
